commute,date,Google estimate,mph,mpg,time,avg speed,ev perc,tires,traffic_pattern,year
night,14Mar,61,68,48.5,85,27,13,,,
morning,15Mar,41,69,47.3,41,56,8,,,
night,15Mar,45,69,46.9,56,40,11,,,
morning,18Mar,43,68,50.6,43,53,10,,,
night,18Mar,53,68,48.6,64,36,13,,,
morning,19Mar,42,67,53.1,49,47,12,,,
night,19Mar,53,68,49.4,66,35,13,,,
morning,20Mar,47,68,48.9,45,51,9,,,
night,20Mar,58,68,51.1,61,38,12,,,
morning,21Mar,49,66,51.2,47,49,7,,,
night,21Mar,62,67,45.5,67,34,14,,,
morning,25Mar,47,67,47.6,48,48,11,,,
night,25Mar,57,67,50.9,84,27,12,,,
morning,26Mar,45,69,47.5,45,51,10,,,
morning,27Mar,50,68,48.8,53,44,11,,,
night,27Mar,58,66,53.7,63,36,13,,,
morning,28Mar,58,69,48,56,42,11,,,
night,28Mar,68,69,45.1,92,25,15,,,
morning,01Apr,51,67,53.7,48,47,12,,,
night,01Apr,53,66,55.4,60,38,12,,,
morning,06Apr,40,74,48.6,38,59,8,,,
night,06Apr,56,74,45.4,68,34,13,,,
morning,08Apr,48,69,53,47,49,10,,,
night,08Apr,60,67,52.5,76,31,12,,,
morning,09Apr,51,67,55.3,53,43,14,,,
night,09Apr,59,67,52.2,71,32,12,,,
morning,10Apr,59,68,51.8,57,41,15,,,
night,10Apr,59,67,54.8,55,42,12,,,
morning,11Apr,47,69,51.1,47,49,11,,,
night,11Apr,62,69,52.9,61,37,12,,,
morning,12Apr,50,66,46.6,48,48,13,,,
night,12Apr,68,67,50.9,83,31,13,,,
morning,17Apr,44,67,54.4,44,52,13,,,
night,17Apr,66,67,53,62,37,14,,,
morning,03May,43,67,50.3,43,53,11,,,
night,03May,43,67,54.8,58,42,18,,,
morning,13May,52,67,54,59,39,15,,,
morning,14May,56,69,53.7,60,38,15,,,
night,14May,48,69,53.8,45,51,12,,,
morning,15May,52,67,54.7,55,42,13,,,
night ,15May,45,67,55.2,46,50,14,,,
morning,17May,44,67,47.6,44,52,11,,,
night,17May,43,67,55.3,41,56,10,,,
morning,20May,51,67,52.7,47,48,13,,,
night,20May,42,68,55.4,40,57,10,,,
morning,21May,54,69,53.1,52,44,14,,,
night,21May,49,69,53.4,46,50,15,,,
morning,22May,55,69,52.6,56,41,13,,,
night,22May,47,65,54.9,48,47,16,,,
morning,23May,58,67,48.6,64,36,13,,,
morning,24May,48,69,56.3,51,45,14,,,
night,24May,42,69,51.5,41,55,10,,,
morning,28May,50,68,55.9,50,46,15,,,
night,28May,52,68,52.4,49,46,18,,,
morning,29May,51,69,58.8,50,46,15,,,
night,29May,48,66,58.2,45,51,11,,,
morning,31May,52,77,45.7,47,49,12,,,
night,31May,42,67,55.5,41,57,8,,,
morning,03Jun,52,67,55.6,51,45,15,,,
night,03Jun,48,67,55,57,40,17,,,
morning,04Jun,52,66,57.1,51,45,14,,,
night,04Jun,50,66,55.2,62,37,14,,,
morning,05Jun,49,67,56.2,48,48,13,,,
night,05Jun,51,69,49.7,47,48,11,,,
morning,06Jun,42,69,53.1,41,55,10,,,
night,06Jun,41,68,55.8,43,53,11,,,
morning,07Jun,49,68,52.9,48,48,12,,,
night ,07Jun,52,,,,,,,,
